268.61,264.15,268.30
269.38,267.64,268.49
270.89,266.60,269.19
273.62,267.97,270.88
276.79,268.65,269.86
270.33,265.74,268.54
270.97,267.11,269.53
271.18,266.42,269.63
272.88,267.38,269.26
271.77,266.26,267.96
273.47,267.21,269.18
275.65,269.55,274.99
275.47,271.45,273.21
276.44,271.84,272.69
275.70,269.35,272.16
270.24,265.48,267.21
270.46,265.07,267.19
271.96,265.25,268.31
275.17,265.67,266.00
273.07,265.42,271.24
276.74,270.65,275.66
280.12,274.99,276.71
279.27,276.37,277.29
278.74,275.73,278.59
283.16,275.88,282.84
287.13,282.37,285.92
288.35,283.04,283.88
284.46,278.33,280.44
280.88,277.79,278.52
279.41,275.89,277.63
279.77,276.66,276.92
279.49,276.18,278.52
279.33,273.55,277.77
278.96,276.56,278.02
279.89,272.58,273.85
275.24,271.54,274.35
275.90,271.39,271.59
273.37,266.70,271.94
274.34,269.65,273.41
273.62,270.26,270.72
272.25,269.31,272.11
275.17,271.95,273.55
275.11,272.60,273.14
274.10,272.10,273.50
273.82,272.03,272.82
273.42,271.50,271.61
277.58,268.75,270.76
271.26,265.89,267.01
267.30,261.87,262.11
263.43,259.57,260.09
259.05,255.46,258.80
259.97,255.98,259.13
261.06,256.56,260.01
261.57,258.15,260.81
261.58,256.47,259.72
260.80,256.81,257.97
258.66,254.69,255.29
254.55,243.19,246.47
251.32,244.95,247.42
250.77,247.92,248.12
249.18,244.45,247.81
256.32,249.57,255.17
261.71,257.97,258.03
258.62,254.27,256.20
259.41,254.17,258.04
261.66,251.94,259.24
270.24,258.97,269.76
271.63,267.36,269.23
278.69,272.04,276.23
279.24,272.97,275.65
280.65,276.67,277.86
278.20,271.70,274.62
275.37,272.94,273.68
280.18,274.45,275.50
275.72,260.18,261.73
262.23,255.45,255.78
266.29,255.54,263.88
266.82,262.45,264.35
264.48,260.05,260.58
264.75,258.16,264.58
269.43,263.38,266.18
274.89,267.71,272.14
274.94,271.05,274.23
276.11,270.80,272.95
272.81,262.89,264.18
266.53,260.20,264.72
265.56,260.13,263.75
266.15,261.42,262.52
261.56,257.25,260.29
258.77,254.37,257.46
261.15,253.68,259.88
262.48,256.95,260.83
262.13,259.55,260.81
258.95,254.18,255.76
256.33,249.52,250.12
253.89,249.88,252.82
255.13,252.18,254.23
254.94,249.00,249.94
251.83,247.30,248.96
249.20,246.00,247.99
254.60,250.28,251.49
254.83,249.55,251.64
255.00,251.60,252.62
257.00,250.77,252.89
255.49,248.07,248.80
250.87,245.51,246.63
255.48,247.10,253.79
256.18,253.33,255.63
256.13,250.65,255.92
262.16,256.46,258.86
256.20,245.70,253.50
259.75,256.53,258.90
261.12,256.07,260.49
262.19,259.02,260.48
260.18,256.66,259.20
261.93,257.19,258.83
266.56,257.81,266.43
267.16,261.27,263.40
272.30,266.72,270.23
274.28,270.29,273.05
272.80,265.40,266.17
273.74,266.87,273.17
275.77,271.65,273.43
273.06,269.65,271.06
